#
# AUTOMATICALLY GENERATED FILE, DO NOT EDIT!
#
# This file is automatically generated from the beyond-all-reason/maps-metadata repository and any
# changes here will be overridden by the next update. If you want to make any changes please follow
# https://github.com/beyond-all-reason/maps-metadata/wiki/Adding-a-created-map-to-the-game
#
################################################################################
#
# Input field description:
# ------------------------
#
# mapName: name of the map with smf extension (string)
# nbTeams: number of teams
#
# Output fields description:
# --------------------------
#
# boxes: Split description (string)
#   h <size> -> split horizontally (boxes height=<size>)
#   v <size> -> split vertically (boxes width=<size>)
#   c1 <size> -> split on top left and bottom right corners (boxes sides=<size>)
#   c2 <size> -> split on top right and bottom left corners (boxes sides=<size>)
#   c <size> -> split on corners (boxes sides=<size>)
#   s <size> -> split on sides (boxes sides=<size>)
#   <addboxes parameters sets> -> refer to "addbox" command help
#     (example: "0 0 50 50;150 150 200 200;0 150 50 200;150 0 200 50")
#
################################################################################
#
#?mapName:nbTeams|boxes
Asteroid_Mines_V3.smf:4|30 30 77 76;123 122 170 171;29 125 76 170;122 30 171 78
Aurelia v4.1.smf:2|0 0 200 52;0 148 200 200
Avalanche 3.4.smf:2|0 0 50 50;150 150 200 200
Azurite Shores 1.01.smf:2|0 0 50 200;150 0 200 200
BarR 1.1.smf:2|0 0 50 200;150 0 200 200
Baryon Tar Lake v1.1.smf:2|0 0 40 200;160 0 200 200
Bismuth Valley v2.4.1.smf:2|0 0 40 200;160 0 200 200
BlackStar_v2.smf:2|0 0 60 200;140 0 200 200
BlackStar_v2.smf:5|91 18 113 38;161 72 183 94;130 147 152 169;42 147 66 169;12 72 34 94
Blindside Remake v1.0.smf:2|0 0 75 200;125 0 200 200
Boulder_Beach_V1.smf:2|0 0 70 200;130 0 200 200
Callisto v3.1.smf:2|0 0 200 30;0 170 200 200
Canis River v1.4.smf:2|0 140 115 200;85 0 200 60
Cape_Violet_V1.smf:2|0 0 40 200;160 0 200 200
Carrot Mountains v2.0.smf:2|0 0 40 200;160 0 200 200
Carrot Mountains v2.0.smf:4|0 0 60 60;140 0 200 60;0 140 60 200;140 140 200 200
Cells 1.2.smf:2|0 0 50 200;150 0 200 200
Cells 1.2.smf:4|0 0 90 60;110 140 200 200;140 0 200 90;0 110 60 200
Center Command BAR v1.0.smf:2|0 0 50 200;150 0 200 200
Centerrock Remake 1.2.smf:2|0 0 87 66;131 106 200 200
Charlie In The Hills Remake v1.1.1.smf:2|0 0 200 50;0 150 200 200
Cirolata 1.02.smf:2|0 0 200 70;0 130 200 200
Cirolata 1.02.smf:4|0 0 65 65;135 135 200 200;0 135 65 200;135 0 200 65
Claymore 3.0.3.smf:5|15 35 71 86;109 136 158 189;89 14 150 69;17 125 75 183;141 67 189 128
Claymore 3.0.3.smf:15|30 31 41 41;104 183 116 193;144 17 155 27;12 134 24 145;184 123 194 132;11 76 21 87;152 166 161 175;178 62 189 72;51 177 62 187;84 11 94 19;65 81 76 90;109 132 121 142;107 64 118 75;69 121 79 130;136 97 146 106
Cloud9_V2.smf:2|0 0 66 200;134 0 200 200
Cloud9_V2.smf:3|6 6 66 66;134 6 194 66;6 134 66 194
Cloud9_V2.smf:4|15 15 55 55;145 141 185 181;15 141 55 181;145 15 185 55
Cloud9_V2.smf:9|15 15 55 55;145 15 185 55;81 15 121 55;15 78 55 118;81 78 121 118;145 78 185 118;15 141 55 181;81 141 121 181;145 141 185 181
Coast To Coast BAR v1.0.smf:2|0 0 40 200;160 0 200 200
Coastlines_Dry_V2.2.1.smf:2|0 0 40 200;160 0 200 200
Colorado_V2 1.1.smf:2|0 0 40 200;160 0 200 200
Comet Catcher Remake 1.8.smf:2|0 0 40 200;160 0 200 200
Comet Catcher Remake 1.8.smf:4|150 0 200 40;0 160 50 200;0 0 50 40;150 160 200 200
Copper Hill v1.0.1.smf:2|0 0 50 200;150 0 200 200
Crater Islands Remake v1.0.1.smf:2|0 0 40 200;160 0 200 200
Crater Islands Remake v1.0.1.smf:4|0 0 40 40;160 160 200 200;25 125 65 165;120 44 160 84
Crescent_Bay_V2.smf:2|0 0 200 60;0 140 200 200
Crescent_Bay_V2.smf:3|6 14 129 61;137 12 186 125;14 71 67 194
Crescent_Bay_V2.smf:4|6 14 129 61;137 12 186 125;14 71 67 194;71 131 194 185
Crimson Bay v1.1a.smf:2|0 0 64 200;136 0 200 200
Crimson Bay v1.1a.smf:4|28 176 65 200;171 60 195 77;38 38 59 58;155 153 176 174
Crimson Bay v1.1a.smf:5|28 176 65 200;171 60 195 77;38 38 59 58;155 153 176 174;81 96 106 118
Crimson Bay v1.1a.smf:6|28 176 65 200;171 60 195 77;38 38 59 58;155 153 176 174;81 96 106 118;115 156 134 189
Crimson Bay v1.1a.smf:8|28 176 65 200;171 60 195 77;38 38 59 58;155 153 176 174;81 96 106 118;115 156 134 189;0 0 31 20;162 0 200 22
Crimson Bay v1.1a.smf:16|28 176 65 200;171 60 195 77;38 38 59 58;155 153 176 174;81 96 106 118;115 156 134 189;0 0 31 20;162 0 200 22;87 31 114 51;36 107 54 131;170 106 189 123;2 143 29 166;83 129 107 154;134 111 153 134;57 74 78 92;136 54 157 68
Crubick Plains BAR v1.1.smf:2|18 12 133 80;68 122 183 187
Crystallized Plains 1.1.smf:2|0 0 200 40;0 160 200 200
Crystallized Plains 1.1.smf:4|165 167 200 200;0 0 38 36;31 151 72 188;132 11 172 48
Darkside v3.0.smf:2|0 0 40 200;160 0 200 200
Death Valley v1.0.1.smf:2|0 135 95 200;105 0 200 65
Deeploria Fields v1.5.1.smf:2|0 0 50 200;150 0 200 200
Deeploria Fields v1.5.1.smf:4|0 0 40 60;160 140 200 200;0 140 40 200;160 0 200 60
Delta Siege Dry v5.7.1.smf:2|0 0 56 200;144 0 200 200
Desolation v1.0.1.smf:2|0 0 88 66;112 134 200 200
Devil's Postpiles 1.1.1.smf:2|0 0 32 200;168 0 200 200
Ditched_V1.smf:2|0 0 40 200;160 0 200 200
Downs_of_Destruction_V2.smf:2|0 0 200 40;0 160 200 200
DSD 8 Way 1.1.smf:2|0 15 200 94;0 106 200 187
DSD 8 Way 1.1.smf:4|44 129 128 189;128 68 178 152;24 46 70 128;69 17 150 68
DSD 8 Way 1.1.smf:8|70 26 107 61;93 135 132 174;20 91 60 130;138 70 176 107;113 30 148 67;133 115 173 152;47 131 85 167;36 52 68 83
DWorld_V4.smf:4|40 82 52 93;152 109 164 120;144 39 157 49;64 153 73 164
DWorld_V4.smf:16|40 82 52 93;152 109 164 120;144 39 157 49;64 153 73 164;32 144 42 153;113 79 123 90;47 33 56 41;133 136 145 145;86 128 96 139;80 59 91 69;124 106 134 115;77 101 87 111;76 27 85 36;112 46 123 55;101 159 111 169;140 63 152 72
Eclipsed 0.9.8.smf:2|0 120 58 200;120 0 200 58
Eight Horses 1.2.smf:2|0 0 30 200;170 0 200 200
EmainMacha Remake 2.1.1.smf:2|0 0 200 40;0 160 200 200
Entrenched_Plains_V2.smf:2|0 0 40 200;160 0 200 200
Erebos Lakes v1.0.smf:2|0 90 48 200;152 1 200 110
Esker Creek 1.3.smf:2|0 0 40 200;160 0 200 200
Evad River Confluence_V2.smf:2|0 0 69 112;119 0 200 99
Evad River Confluence_V2.smf:3|0 0 69 112;119 0 200 99;57 130 177 200
Eye Of Horus 1.7.1.smf:2|0 0 200 40;0 160 200 200
Factions and Factious 0.9.smf:2|0 0 50 200;150 0 200 200
Factions and Factious 0.9.smf:10|21 45 34 57;171 156 186 172;9 169 18 182;174 7 186 20;87 8 98 19;95 171 106 182;36 95 47 107;172 82 185 94;110 122 123 132;102 58 115 72
Failed Negotiations 1.0.smf:2|0 0 200 60;0 140 200 200
Fallendell_V4.smf:2|0 0 40 200;160 0 200 200
Faster Than Light 1.1.smf:2|13 23 73 73;125 129 175 189
Feast of Hades 1.0.1.smf:2|0 0 60 80;140 120 200 200
Flats and Forests v2.2.smf:2|0 0 40 200;160 0 200 200
Flats and Forests v2.2.smf:4|0 0 40 40;160 160 200 200;0 160 40 200;160 0 200 40
Flooded_Valley_V5.smf:2|86 0 114 28;86 172 114 200
FolsomDamR 1.17.smf:2|0 0 60 200;140 0 200 200
Forge v2.3.smf:2|0 0 50 200;150 0 200 200
Frozen_Ford_V2.smf:2|0 0 200 40;0 160 200 200
Full Metal Plate 1.7.smf:2|0 0 50 200;150 0 200 200
Full Metal Plate 1.7.smf:4|0 0 70 70;130 130 200 200;0 130 70 200;130 0 200 70
Gasbag Grabens 1.1.1.smf:2|28 80 48 160;152 40 172 120
Gecko Isle Remake v1.2.1.smf:2|0 0 200 40;0 160 200 200
Geyser Plains BAR v1.2.1.smf:2|0 0 40 200;160 0 200 200
Ghenna Rising 4.0.1.smf:2|0 0 200 60;0 140 200 200
Ghenna Rising 4.0.1.smf:3|8 5 68 65;133 130 193 190;129 2 194 69
Ghenna Rising 4.0.1.smf:4|7 3 74 69;4 127 71 193;137 126 200 193;136 1 200 67
Glacial Gap v1.1.smf:2|0 0 40 200;160 0 200 200
Glacier Pass 1.2.smf:2|0 0 60 200;140 0 200 200
Gods of War Remake v1.3.smf:5|0 155 33 200;170 73 200 116;114 167 161 200;10 26 64 86;89 0 148 37
Great Divide V1.smf:2|0 0 200 40;0 160 200 200
Greenest Fields 1.3.1.smf:2|0 0 200 40;0 160 200 200
Greenhaven BAR v1.2.smf:2|0 0 40 200;160 0 200 200
Hades Ponds 1.1.smf:2|0 0 40 200;160 0 200 200
Heartbreak Hill v4.0.1.smf:2|0 0 30 200;170 0 200 200
Hellas Basin v1.4.smf:2|0 0 80 80;120 120 200 200
Hera Planum 0.9.2.smf:2|0 0 45 200;155 0 200 200
Hide and Seek 2.2.3.smf:2|50 116 66 156;134 44 150 84
High Noon Remake 1.0.smf:2|0 90 40 200;160 0 200 110
Hooked 1.1.1.smf:2|0 0 40 200;160 0 200 200
Hotlips Remake v3.2.smf:2|162 3 200 199;0 0 39 200
Hotstepper 5 1.2.1.smf:2|0 0 43 200;154 0 200 200
Hotstepper 5 1.2.1.smf:5|8 45 36 73;137 145 171 175;25 147 58 177;159 46 186 77;85 6 107 27
Hyperion Shale 1.0.smf:2|33 128 167 180;33 20 167 72
Hyperion Shale 1.0.smf:5|68 145 94 167;68 34 94 55;137 123 159 148;137 52 159 77;31 88 51 112
Ice Scream v2.5.1.smf:2|0 0 60 200;140 0 200 200
Incandescence Remake 3.3.1.smf:2|0 0 90 90;110 110 200 200
Industrial_Revolution_V2.smf:2|0 0 40 200;160 0 200 200
Into Battle Redux v3.0.1.smf:2|0 150 50 200;150 0 200 50
Iron_Isle_V1.smf:2|0 0 40 200;160 0 200 200
Isidis crack 1.1.smf:2|0 133 66 200;133 0 200 66
Jade Empress 1.41.smf:2|37 26 105 73;129 87 172 157
Kings Assault v1.3.smf:2|0 0 42 200;158 0 200 200
KnockoutR 1.5.smf:2|0 0 52 200;148 0 200 200
KnockoutR 1.5.smf:4|80 0 120 40;80 160 120 200;0 80 40 120;160 80 200 120
KnockoutR 1.5.smf:5|9 17 75 73;121 15 185 75;17 117 77 176;121 124 181 176;80 77 116 112
KnockoutR 1.5.smf:8|8 44 42 91;42 7 94 40;109 6 156 41;158 43 196 92;157 109 196 157;107 159 156 194;44 157 90 194;6 109 41 155
KnockoutR 1.5.smf:9|48 148 92 195;40 0 94 40;104 0 156 45;153 43 197 87;153 106 196 152;109 146 152 195;1 51 46 88;1 102 32 129;66 62 133 129
Kolmogorov Remake 3.0.1.smf:2|0 105 95 200;105 0 200 95
Koom Valley 3 3.1.smf:2|0 0 60 200;140 0 200 200
Krakatoa_V2.0.smf:2|0 0 40 200;160 0 200 200
Krakatoa_V2.0.smf:4|50 0 140 50;50 150 140 200;0 60 50 140;150 60 200 140
Krakatoa_V2.0.smf:8|161 69 171 80;162 123 172 132;129 163 139 172;72 164 80 174;30 126 40 136;30 73 39 82;123 26 133 35;63 30 72 38
Lake Carne v2.0.1.smf:2|0 140 60 200;140 0 200 60
Lavender Bender v2.smf:2|0 180 140 200;180 0 200 140
LV412 1.3.1.smf:2|0 1 200 39;0 157 200 197
Mariposa Island v2.4.1.smf:2|0 0 76 76;124 124 200 200
Mediterraneum_V1.smf:32|9 11 23 24;32 29 45 41;9 83 22 96;33 82 44 95;17 157 29 168;46 127 57 140;60 105 70 116;83 93 94 106;92 58 103 70;92 26 103 36;127 38 138 49;76 130 88 142;50 186 61 196;116 116 126 126;111 81 122 95;125 137 137 148;114 188 125 199;137 74 149 88;174 45 185 57;186 79 198 90;163 107 174 119;155 154 167 166;181 185 191 196;65 151 76 162;163 15 178 29;61 40 74 55;117 156 130 171;189 114 200 140;17 187 30 199;118 10 136 20;24 54 38 65;138 99 150 111
Melting Glacier v1.1.1.smf:2|0 0 40 200;160 0 200 200
Mescaline_V2.smf:2|0 0 46 200;154 0 200 200
Mithril Mountain v2.0.1.smf:2|0 0 60 60;140 140 200 200
MoonQ20XR2 2.5.smf:2|0 0 60 200;140 0 200 200
Moonshine Run v1.0.1.smf:2|0 0 40 200;160 0 200 200
Neurope_Remake 4.2.1.smf:16|12 62 21 80;44 6 52 23;20 144 29 162;79 32 86 47;182 159 190 174;182 32 189 43;141 26 149 41;122 64 130 82;156 100 164 118;67 180 74 193;121 119 129 134;86 97 97 116;56 91 65 111;148 157 154 172;43 100 49 111;99 177 109 191
Nine_Metal_Islands_V1.smf:2|0 0 70 200;130 0 200 200
Nine_Metal_Islands_V1.smf:8|0 115 45 139;11 57 42 84;61 10 93 40;106 7 141 38;156 53 191 84;161 99 195 136;107 158 142 195;59 160 96 188
Nine_Metal_Islands_V1.smf:9|0 115 45 139;11 57 42 84;61 10 93 40;106 7 141 38;156 53 191 84;161 99 195 136;107 158 142 195;59 160 96 188;76 86 123 112
Nuclear Winter Bar 1.4.smf:2|0 0 50 200;150 0 200 200
Odderon Strandflats v1.1.smf:2|0 130 200 200;0 0 200 70
Odderon Strandflats v1.1.smf:16|38 51 56 61;122 8 133 15;176 9 189 18;135 33 151 42;69 23 81 29;84 48 96 55;154 66 165 74;100 117 112 124;80 144 90 151;168 103 179 112;181 147 190 154;182 189 192 196;105 183 121 190;31 117 44 126;52 77 66 88;153 85 168 91
Omega Valley V1.01.smf:2|0 0 200 40;0 160 200 200
Onyx Cauldron 2.2.2.smf:2|25 25 55 55;145 145 175 175
Oort_Cloud_V2.smf:2|0 0 50 200;150 0 200 200
Oort_Cloud_V2.smf:16|18 64 34 81;67 21 84 35;114 64 132 81;117 111 131 126;116 155 131 169;67 112 84 129;66 64 84 81;115 20 131 38;163 19 179 36;160 65 177 80;162 158 179 175;158 109 177 128;66 154 86 174;23 21 36 36;21 158 37 172;19 111 36 128
Otago 1.43.smf:2|0 0 50 200;150 0 200 200
Paradise_Lost_V4.smf:2|0 0 30 200;170 0 200 200
Paradise_Lost_V4.smf:4|0 0 30 93;170 0 200 100;0 110 32 200;170 111 200 200
Paradise_Lost_V4.smf:8|0 0 30 93;170 0 200 100;0 110 32 200;170 111 200 200;60 0 129 30;100 69 129 111;74 103 94 147;62 172 129 200
Pawn Retreat 1.2.smf:2|0 0 200 60;0 140 200 200
Pentos_V1.smf:5|12 57 52 97;124 136 164 176;39 139 79 178;148 59 187 99;77 13 118 51
Pillar_of_Doom_V1.smf:2|36 127 55 149;146 120 164 140
Pillar_of_Doom_V1.smf:3|88 32 115 44;37 127 55 148;143 122 163 138
Pinch Point 1.03.smf:2|0 0 75 200;125 0 200 200
Pinewood_Derby_V1.smf:2|0 0 40 200;160 0 200 200
Plains and Passes v1.0.smf:2|0 0 40 200;160 0 200 200
Plethora_of_Ponds_V1.smf:2|0 0 200 46;0 154 200 200
Point of No Return v1.0.1.smf:10|176 2 193 12;3 6 27 33;14 82 44 115;40 136 64 155;145 155 165 168;61 39 84 58;134 54 156 72;115 98 136 111;172 94 192 109;100 12 124 31
Pools of Ilys 1.1.2.smf:2|1 1 58 67;142 133 200 200
Prismatic Anomaly v1.02.smf:2|0 176 198 200;0 0 200 27
Project SD-129 v1.0.smf:2|0 0 60 200;140 0 200 200
Project SD-129 v1.0.smf:3|0 0 64 90;136 0 200 90;68 126 129 200
Project SD-129 v1.0.smf:4|0 0 80 80;120 120 200 200;0 120 80 200;120 0 200 80
Quicksilver Remake 1.24.smf:2|0 0 200 63;0 150 200 200
Raptor_Crater_V2.smf:2|0 0 40 200;160 0 200 200
Raptor_Crater_V2.smf:4|0 0 60 60;0 140 60 200;140 0 200 60;140 140 200 200
Ravaged Remake v1.2.smf:2|20 150 45 180;150 25 180 50
Red Comet Remake 1.8.smf:2|0 0 40 200;160 0 200 200
Red River Estuary v1.1.smf:2|0 0 40 200;160 0 200 200
Red River Remake v1.2.smf:2|0 0 20 200;180 0 200 200
Red Rock Desert v2.smf:2|0 0 40 200;160 0 200 200
Red Triangle Remake v1.3.smf:2|10 19 34 43;167 43 190 67
Red Triangle Remake v1.3.smf:3|9 18 57 67;144 42 189 90;62 154 117 186
Requiem Outpost 1.0.1.smf:2|0 0 60 200;140 0 200 200
ReRaghnarok 1.0.1.smf:2|0 0 40 200;160 0 200 200
Rifted_V2.smf:2|0 150 50 200;150 0 200 50
Ring Atoll Remake v2.0.smf:2|0 0 50 200;150 0 200 200
Ring Atoll Remake v2.0.smf:10|43 27 58 47;127 159 152 172;132 26 151 47;19 120 32 139;162 67 178 86;45 154 62 170;82 18 105 28;88 170 110 180;20 70 34 92;162 114 176 133
Riverdale Remake 2.1.smf:2|0 0 200 40;0 160 200 200
Riverrun_V1.smf:2|0 0 50 200;150 0 200 200
Riverrun_V1.smf:8|4 67 20 79;59 86 72 97;130 103 141 116;183 5 196 21;176 98 192 112;10 136 25 150;36 8 48 24;153 178 164 194
Rosetta 1.4.4.smf:2|0 0 40 200;160 0 200 200
Rustcrown Canyon 1.3.smf:2|0 0 40 200;160 0 200 200
Salmiakki 1.3.smf:2|0 0 46 200;154 0 200 200
Salt Reef 1.1.smf:2|0 0 40 200;160 0 200 200
Sand Crowns 1.0.smf:4|70 0 125 40;75 160 125 200;0 75 40 130;160 70 200 120
Scylla and Charybdis 1.1.smf:2|0 0 200 50;0 150 200 200
Sector 318C v1.0.smf:2|0 0 40 200;160 0 200 200
Serene Caldera v1.3.smf:2|0 0 200 40;0 160 200 200
Serene Caldera v1.3.smf:40|31 31 43 46;55 14 66 28;78 10 93 20;105 10 122 19;135 17 149 28;161 30 174 42;178 54 188 70;185 88 192 98;173 121 189 138;160 154 170 172;136 179 149 190;109 182 123 194;78 179 96 193;45 174 57 189;27 157 40 170;13 129 24 150;6 97 19 116;12 59 26 81;39 49 52 62;125 36 140 49;154 63 166 81;155 102 165 117;148 139 162 150;67 153 77 162;40 117 51 137;38 83 47 99;56 59 71 75;87 50 112 66;127 72 144 94;126 122 143 141;86 134 109 148;55 102 71 127;88 82 95 90;97 83 105 91;106 90 114 99;108 102 115 109;101 113 110 120;91 109 99 118;84 99 93 109;83 91 93 98
Sertagatta v6.0.1.smf:2|0 0 40 200;160 0 200 200
Sertaleina_v9.2.smf:2|0 0 40 200;160 0 200 200
Seths Ravine Remake 1.3.1.smf:2|21 10 52 97;147 105 177 187
Seven Rivers v1.21.smf:2|0 0 40 200;160 0 200 200
Shallow Straits v1.0.1.smf:2|0 110 70 200;130 0 200 90
Shore_to_Shore_V3.smf:2|0 0 40 200;160 0 200 200
Silent Sea v1.0.1.smf:2|0 0 200 50;0 150 200 200
Silveridge v1.0.1.smf:2|0 0 200 50;0 150 200 200
Silveridge v1.0.1.smf:4|0 0 60 60;0 140 60 200;140 0 200 60;140 140 200 200
Sinkhole Network v1.1.smf:2|0 0 50 200;150 0 200 200
Sinkhole Network v1.1.smf:4|0 0 50 50;150 0 200 50;150 150 200 200;0 150 50 200
Sky Isle v1.1.1.smf:2|0 0 200 40;0 160 200 200
Small_Supreme_Battlefield_V3.smf:2|0 126 74 200;126 0 200 74
Special Creek 1.0.smf:2|0 0 85 200;115 0 200 200
Special Creek 1.0.smf:4|0 0 85 85;115 0 200 85;0 115 85 200;115 115 200 200
Special Hotstepper 1.1.1.smf:2|0 0 40 199;160 0 200 200
Special Reef 1.0.smf:2|0 0 75 200;125 0 200 200
SpeedMetal BAR V2.smf:2|0 0 34 200;166 0 200 200
Sphagnum Bog v1.2.1.smf:2|0 0 200 40;0 160 200 200
Starwatcher 1.0.smf:2|0 0 40 200;160 0 200 200
Stronghold v5.0.1.smf:2|0 0 200 50;0 150 200 200
Stronghold v5.0.1.smf:4|0 0 70 70;130 130 200 200;0 130 70 200;130 0 200 70
Sulphur Springs v1.1.smf:2|56 167 200 200;0 0 31 147
Sunderance V1.3.smf:2|0 0 200 40;0 160 200 200
Sunderance V1.3.smf:4|0 0 40 40;160 160 200 200;0 160 40 200;160 0 200 40
Supreme Isthmus v2.1.smf:2|0 120 80 200;120 0 200 80
Supreme_Crossing 2.2.1.smf:2|0 120 80 200;120 0 200 80
Supreme_Crossing_V1.smf:2|0 120 80 200;120 0 200 80
Swirly Rock v1.1.smf:2|0 0 50 200;150 0 200 200
Tabula_Remake 1.5.smf:2|0 0 54 200;146 0 200 200
Taldarim_V3.smf:2|0 0 40 200;160 0 200 200
Talus_v2.smf:2|0 100 100 200;100 0 200 100
Tangerine_Remake 1.0.smf:2|0 0 200 60;0 140 200 200
Tau12.smf:2|0 0 40 200;160 0 200 200
Tempest_V3.smf:2|0 0 200 60;0 140 200 200
Tetrad_V2.smf:2|0 0 44 200;156 0 200 200
Tetrad_V2.smf:4|0 0 60 60;0 140 60 200;140 0 200 60;140 140 200 200
The BARrier Reef Remake v1.0.smf:2|140 80 200 200;0 0 60 120
The Cold Place BAR v1.1.smf:2|0 0 40 200;160 0 200 200
The Cold Place BAR v1.1.smf:3|79 12 126 56;14 114 50 162;150 99 188 153
The Halite Maze v1.4.smf:2|0 0 40 200;160 0 200 200
The Rock 3.0.1.smf:2|0 0 40 200;160 0 200 200
The Rock Jungle 2.1.smf:2|0 0 50 200;150 0 200 200
The Tartar Steppe v1.1.smf:2|0 0 40 200;160 0 200 200
Thermal Shock v1.1.smf:2|80 140 200 200;0 0 60 120
Theta Crystals 1.3.smf:2|0 130 77 200;130 0 200 77
Throne_V8.smf:7|11 31 37 57;133 161 160 189;58 166 84 195;144 18 177 49;4 112 25 142;170 93 195 120;75 1 99 21
Throne_V8.smf:16|62 86 74 101;77 6 96 24;143 63 157 79;65 139 80 152;92 86 104 97;151 25 173 45;172 96 190 118;136 165 156 186;63 168 85 189;10 114 28 137;15 38 38 60;34 71 51 89;82 29 101 47;105 59 118 69;133 129 148 144;111 114 123 126
Timna Island 1.0.1.smf:2|0 0 40 200;160 0 200 200
Titan v3.1.smf:2|0 0 60 200;140 0 200 200
TitanDuel_V3.smf:2|0 0 60 60;140 140 200 200
TMA20X 1.8.smf:2|0 0 200 70;0 130 200 200
TMA20X 1.8.smf:7|52 29 82 61;139 129 170 161;29 134 65 169;21 69 55 104;142 55 177 87;80 149 120 179;100 27 133 59
To Kill The Middle v1.1.smf:2|0 0 50 200;150 0 200 200
Trefoil Remake 2.20.smf:3|19 40 65 82;132 40 182 81;76 135 123 176
Tropical Assault v3.0.smf:2|0 0 200 66;0 134 200 200
Tumult Remake v1.0.1.smf:2|0 0 200 40;0 160 200 200
Tundra Continents v2.3.1.smf:2|0 0 200 40;0 160 200 200
Tundra_V2.smf:2|0 0 200 40;0 160 200 200
Twin Lakes Park Redux 1.2.2.smf:2|0 0 40 200;160 0 200 200
Valles Marineris 2.6.1.smf:2|0 0 34 200;166 0 200 200
Wanderlust 2.1.smf:2|0 0 30 200;170 0 200 200
White Fire Remake 1.3.smf:2|0 0 200 50;0 150 200 200
Why did I let PtaQ talk me into this 1.0.smf:2|21 62 80 193;122 58 189 193
World In Flames v1.8.smf:2|0 0 80 200;120 0 200 200
Zed Remake 3.3.1.smf:2|0 0 200 40;0 160 200 200
